STATE,FIRE_YEAR,CAUSE,fire_count,total_acres
GA,2009,Natural,115,691.35
GA,2010,Human,5649,21386.15
GA,2010,Natural,216,1958.8
GA,2010,Undetermined,2,5.5
GA,2011,Human,7659,112135.94
GA,2011,Natural,750,324459.75
GA,2011,Undetermined,4,1308.1
GA,2012,Human,4511,21129.16
GA,2012,Natural,437,4300.46
GA,2012,Undetermined,1,5.0
GA,2013,Human,3190,14285.79
GA,2013,Natural,62,381.56
GA,2014,Human,3901,19545.69
GA,2014,Natural,160,2516.18
GA,2014,Undetermined,2,154.0
GA,2015,Human,2146,8721.41
GA,2015,Natural,209,2668.49
GA,2016,Human,4804,55051.95
GA,2016,Natural,290,31696.81
GA,2016,Undetermined,2,108.0
GA,2017,Human,3515,18128.57
GA,2017,Natural,145,30081.5
GA,2018,Human,2501,13599.7
GA,2018,Natural,73,637.78
GA,2019,Human,2942,10181.38
GA,2019,Natural,228,2734.19
GA,2019,Undetermined,1,113.9
GA,2020,Human,1601,4937.85
GA,2020,Natural,90,847.27
GA,2020,Undetermined,3,10.75
HI,1992,Human,36,10061.0
HI,1992,Undetermined,41,1100.3
HI,1993,Human,11,952.8000000000001
HI,1993,Undetermined,3,1609.2
HI,1994,Human,8,41.6
HI,1994,Natural,1,37.0
HI,1995,Human,5,5.3999999999999995
HI,1995,Natural,4,602.1
HI,1995,Undetermined,1,420.0
HI,1996,Human,3,0.30000000000000004
HI,1996,Natural,3,310.0
HI,1996,Undetermined,2,70.0
HI,1997,Human,10,1.0
HI,1997,Natural,2,51.0
HI,1998,Human,4,100.8
HI,1998,Natural,1,30.0
HI,1998,Undetermined,21,31544.4
HI,1999,Human,4,0.4
HI,1999,Undetermined,5,15129.1
HI,2000,Human,4,2408.4
HI,2000,Undetermined,9,3261.2
HI,2001,Human,4,0.5
HI,2001,Undetermined,562,2351.65
HI,2002,Human,4,250.3
HI,2002,Natural,8,3656.3
HI,2002,Undetermined,564,3107.1
